1	7
1	30
1	33
1	44
1	55
1	58
1	85
1	91
1	97
1	108
1	125
2	77
2	98
3	7
3	30
3	33
3	44
3	55
3	58
3	97
3	108
3	125
4	78
4	105
5	12
5	24
5	49
5	88
5	104
5	111
6	16
6	93
7	33
7	44
7	55
7	58
7	74
7	82
7	95
7	97
7	99
7	108
7	114
7	125
8	48
8	120
9	18
9	27
9	28
9	51
9	72
9	75
9	93
9	102
9	106
9	109
9	127
10	60
10	65
11	16
11	34
11	53
11	59
11	86
11	124
11	128
12	24
12	45
12	49
12	50
12	52
12	56
12	84
12	88
12	104
12	111
13	96
13	100
13	117
13	121
14	17
14	116
14	122
15	25
15	32
15	38
15	54
15	63
15	74
16	34
16	59
16	86
16	124
16	128
17	42
17	66
17	69
17	118
17	123
18	28
18	37
18	41
18	68
18	93
19	96
19	117
20	36
20	91
21	29
21	51
22	51
22	109
23	56
23	92
24	45
24	49
24	50
24	52
24	56
24	64
24	71
24	84
24	88
24	104
24	111
25	32
25	37
25	38
25	46
25	54
25	61
25	63
25	74
25	81
25	89
25	115
26	47
26	71
27	28
27	93
27	127
28	37
28	51
28	61
28	68
28	72
28	93
28	106
28	109
29	36
30	33
30	40
30	44
30	55
30	58
30	70
30	76
30	82
30	95
30	108
30	114
30	119
30	125
31	48
31	103
31	107
32	37
32	38
32	46
32	54
32	61
32	63
32	74
32	81
32	89
32	94
32	115
33	40
33	44
33	55
33	58
33	67
33	70
33	73
33	76
33	82
33	95
33	97
33	108
33	114
33	119
33	125
34	53
34	59
34	86
34	110
34	124
34	128
35	100
35	117
35	121
36	91
36	102
36	105
37	38
37	61
37	63
37	127
38	46
38	54
38	61
38	63
38	74
38	81
38	89
38	94
39	77
39	94
40	44
40	55
40	58
40	99
40	108
40	125
41	69
41	93
42	66
42	69
42	118
42	123
43	47
43	71
44	55
44	58
44	70
44	76
44	82
44	95
44	97
44	108
44	114
44	119
44	125
45	49
45	88
45	104
46	63
46	74
46	94
47	113
48	55
48	73
48	103
48	107
49	50
49	52
49	56
49	84
49	88
49	104
49	111
50	88
50	99
50	104
52	71
52	88
52	104
52	111
53	128
54	63
55	57
55	58
55	70
55	76
55	82
55	95
55	97
55	108
55	114
55	119
55	125
56	88
56	104
56	111
57	58
57	80
57	97
57	102
58	70
58	76
58	82
58	95
58	97
58	102
58	108
58	114
58	119
58	125
59	86
59	110
59	124
59	128
60	99
61	63
62	85
62	103
63	74
63	81
63	89
63	115
64	79
64	101
64	105
65	83
65	90
66	69
66	118
66	123
67	69
67	105
69	118
69	123
70	92
70	108
70	125
71	87
71	113
71	119
72	93
72	102
74	81
74	89
74	102
74	115
75	93
76	108
76	112
76	120
76	125
78	105
79	101
80	82
81	89
82	97
82	108
82	125
83	90
85	112
85	114
85	126
86	128
87	98
88	104
93	106
93	109
93	127
95	97
95	108
95	125
96	100
96	117
96	121
97	108
97	114
97	125
98	99
100	117
100	121
102	109
102	117
102	128
103	107
103	126
108	114
108	119
108	125
114	125
116	122
117	121
118	123
119	125
124	128
