0,1.#QNAN,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.#QNAN,0
1,-1.#IND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.#IND,1
1.58496,-1.#IND,1.62288,1.62492,1.62716,1.62965,1.63243,1.63552,1.63898,1.64288,1.64726,1.6522,1.65779,1.66411,1.67125,1.6793,1.68833,1.69841,1.70955,1.72174,1.73487,1.74881,1.76332,1.77812,1.79292,1.80741,1.82135,1.83453,1.84682,1.85814,1.86848,1.87786,1.88633,1.89396,1.90083,1.907,1.91256,1.91757,1.9221,1.9262,1.92992,-1.#IND,2
1.58496,-1.#IND,1.62303,1.62509,1.62738,1.62994,1.63279,1.636,1.63964,1.64377,1.64848,1.6539,1.66017,1.66744,1.67594,1.68589,1.69759,1.71137,1.72755,1.74648,1.76839,1.79339,1.82135,1.85187,1.8843,1.91793,1.95214,1.9866,2.02139,2.05689,2.09364,2.13207,2.17218,2.21343,2.25485,2.29535,2.33403,2.37029,2.40388,2.43474,2.463,-1.#IND,3
1.58496,-1.#IND,1.62318,1.62525,1.62755,1.63011,1.63298,1.63621,1.63986,1.644,1.64874,1.65419,1.66049,1.6678,1.67635,1.68637,1.69817,1.71207,1.72845,1.7477,1.77016,1.79622,1.82637,1.86176,1.90549,1.96512,2.05426,2.18338,2.34021,2.49705,2.63681,2.75612,2.85721,2.94339,3.01754,3.08197,3.13848,3.18844,3.23292,3.27279,3.30873,-1.#IND,4
1.58496,-1.#IND,1.62348,1.62557,1.62789,1.63047,1.63336,1.63662,1.6403,1.64448,1.64926,1.65476,1.66112,1.66852,1.67717,1.68732,1.6993,1.71347,1.73023,1.75007,1.77358,1.80162,1.83612,1.88229,1.95487,2.08565,2.29842,2.55107,2.78454,2.98107,3.14446,3.28173,3.39862,3.49939,3.58715,3.66425,3.73249,3.7933,3.84779,3.89689,3.94134,-1.#IND,4.80735
1.58496,-1.#IND,1.62407,1.62619,1.62855,1.63118,1.63412,1.63742,1.64117,1.64542,1.65029,1.6559,1.66239,1.66994,1.67879,1.68922,1.70156,1.71623,1.73375,1.75479,1.78034,1.81234,1.85555,1.92339,2.04987,2.27864,2.57849,2.86361,3.10136,3.29598,3.45725,3.59298,3.70875,3.80857,3.89544,3.97165,4.03899,4.09887,4.15242,4.20057,4.24409,-1.#IND,5.08746
1.58496,-1.#IND,1.62524,1.62743,1.62986,1.63256,1.6356,1.63901,1.64288,1.64728,1.65232,1.65813,1.66487,1.67273,1.68198,1.69293,1.70598,1.72165,1.74065,1.76402,1.79362,1.83337,1.89336,1.99976,2.20055,2.50357,2.82131,3.09071,3.30769,3.48371,3.62895,3.7507,3.85407,3.94283,4.01976,4.08701,4.14626,4.19882,4.24574,4.28788,4.32592,-1.#IND,5.08746
1.58496,-1.#IND,1.62749,1.6298,1.63237,1.63524,1.63845,1.64207,1.64617,1.65085,1.65622,1.66243,1.66965,1.67812,1.68815,1.70011,1.71454,1.73216,1.75406,1.78203,1.81951,1.87428,1.96546,2.13428,2.4186,2.76189,3.07,3.31759,3.51491,3.6748,3.80664,3.91697,4.01044,4.09046,4.15964,4.21995,4.27294,4.31983,4.3616,4.39903,4.43274,-1.#IND,5.08746
1.58496,-1.#IND,1.63171,1.63426,1.6371,1.64026,1.64381,1.64782,1.65237,1.65757,1.66356,1.67052,1.67865,1.68827,1.69975,1.71364,1.73069,1.75201,1.77944,1.81618,1.86877,1.95177,2.09709,2.35024,2.69821,3.04196,3.32514,3.55054,3.73275,3.88312,4.0093,4.11659,4.20884,4.28894,4.35908,4.42098,4.47598,4.52516,4.56938,4.60933,4.64559,-1.#IND,5.35755
